X "WELL" "DATE" "ELEV" "LAT" "LON"
1 1 "17S11E22E002S" "2000-03-29" 206.84 32.6596 -115.848
2 2 "17S11E22E002S" "2005-03-23" 208.21 32.6596 -115.848
3 3 "17S11E22E002S" "2005-10-25" 208.39 32.6596 -115.848
4 4 "17S11E22E002S" "2006-03-22" 208.36 32.6596 -115.848
5 5 "17S11E22E002S" "2006-10-24" 208.69 32.6596 -115.848
6 6 "17S11E22E002S" "2007-03-26" 208.83 32.6596 -115.848
7 7 "17S11E22E002S" "2007-10-30" 208.96 32.6596 -115.848
8 8 "17S11E22E002S" "2008-03-27" 209.12 32.6596 -115.848
9 9 "17S11E22E002S" "2008-10-28" 209.18 32.6596 -115.848
10 10 "17S11E22E002S" "2009-03-30" 209.17 32.6596 -115.848
11 11 "17S11E22E002S" "2009-10-15" 209.46 32.6596 -115.848
12 12 "17S11E22E002S" "2010-03-24" 209.55 32.6596 -115.848
13 13 "17S11E22E002S" "2010-10-27" 209.97 32.6596 -115.848
14 14 "325536N1170608W001" "2011-12-22" 28.88 32.55361 -117.06083
15 15 "325536N1170608W001" "2012-05-31" 28.15 32.55361 -117.06083
16 16 "325536N1170608W001" "2012-12-31" 28.19 32.55361 -117.06083
17 17 "325536N1170608W001" "2013-04-24" 29.76 32.55361 -117.06083
18 18 "325536N1170608W001" "2013-11-01" 28.02 32.55361 -117.06083
19 19 "325536N1170608W001" "2014-03-17" 29.86 32.55361 -117.06083
20 20 "325536N1170608W001" "2014-10-15" 26.12 32.55361 -117.06083
21 21 "325910N1170835W006" "2011-12-22" 10.57 32.59099 -117.08351
22 22 "325910N1170835W006" "2012-05-31" 9.62 32.59099 -117.08351
23 23 "325910N1170835W006" "2012-12-31" 10.07 32.59099 -117.08351
24 24 "325910N1170835W006" "2013-04-24" 10.74 32.59099 -117.08351
25 25 "325910N1170835W006" "2013-11-01" 8.32 32.59099 -117.08351
26 26 "325910N1170835W006" "2014-03-17" 11.63 32.59099 -117.08351
27 27 "325910N1170835W006" "2014-10-15" 7.62 32.59099 -117.08351
28 28 "326821N1171124W006" "2011-12-22" 2.09 32.68209 -117.11241
29 29 "326821N1171124W006" "2012-05-31" 2 32.68209 -117.11241
30 30 "326821N1171124W006" "2012-12-31" 2.19 32.68209 -117.11241
31 31 "326821N1171124W006" "2013-04-24" 0.91 32.68209 -117.11241
32 32 "326821N1171124W006" "2013-11-01" 3.26 32.68209 -117.11241
33 33 "326821N1171124W006" "2014-03-17" 3.45 32.68209 -117.11241
34 34 "326821N1171124W006" "2014-10-15" 2.82 32.68209 -117.11241
35 35 "17S10E11H003S" "2000-03-29" 206.58 32.6882 -115.9239
36 36 "17S10E11H003S" "2005-03-30" 208.62 32.6882 -115.9239
37 37 "17S10E11H003S" "2005-10-25" 209.59 32.6882 -115.9239
38 38 "17S10E11H003S" "2006-03-30" 209.37 32.6882 -115.9239
39 39 "17S10E11H003S" "2007-10-30" 210.78 32.6882 -115.9239
40 40 "17S10E11H003S" "2008-03-20" 211.62 32.6882 -115.9239
41 41 "17S10E11H003S" "2008-10-28" 211.48 32.6882 -115.9239
42 42 "17S10E11H003S" "2009-03-25" 207.81 32.6882 -115.9239
43 43 "17S10E11H003S" "2009-04-22" 211.03 32.6882 -115.9239
44 44 "17S10E11H003S" "2009-10-15" 211.09 32.6882 -115.9239
45 45 "17S10E11H003S" "2010-06-01" 212.31 32.6882 -115.9239
46 46 "17S10E11H003S" "2010-10-27" 212.18 32.6882 -115.9239
47 47 "17S10E11G004S" "2007-03-26" 206.3 32.6888 -115.9272
48 48 "17S10E11G004S" "2007-10-30" 206.58 32.6888 -115.9272
49 49 "17S10E11G004S" "2008-03-20" 206.71 32.6888 -115.9272
50 50 "17S10E11G004S" "2008-10-28" 206.97 32.6888 -115.9272
51 51 "17S10E11G004S" "2009-03-30" 207.21 32.6888 -115.9272
52 52 "17S10E11G004S" "2009-10-15" 207.55 32.6888 -115.9272
53 53 "17S10E11G004S" "2010-03-24" 207.83 32.6888 -115.9272
54 54 "17S10E11G004S" "2010-10-27" 207.69 32.6888 -115.9272
55 55 "17S10E11G001S" "2000-03-29" 203.33 32.6899 -115.9264
56 56 "17S10E11G001S" "2005-10-25" 206.18 32.6899 -115.9264
57 57 "17S10E11G001S" "2006-03-22" 206.22 32.6899 -115.9264
58 58 "17S10E11G001S" "2006-10-24" 206.52 32.6899 -115.9264
59 59 "17S10E11G001S" "2007-03-26" 206.26 32.6899 -115.9264
60 60 "17S10E11G001S" "2010-03-23" 208.56 32.6899 -115.9264
61 61 "17S10E11G001S" "2010-10-27" 208.7 32.6899 -115.9264
62 62 "17S10E11B001S" "2000-03-29" 216.13 32.6941 -115.9264
63 63 "17S10E11B001S" "2005-03-23" 218.02 32.6941 -115.9264
64 64 "17S10E11B001S" "2005-10-25" 218.18 32.6941 -115.9264
65 65 "17S10E11B001S" "2006-03-22" 218.36 32.6941 -115.9264
66 66 "17S10E11B001S" "2006-10-24" 218.47 32.6941 -115.9264
67 67 "17S10E11B001S" "2007-03-26" 218.76 32.6941 -115.9264
68 68 "17S10E11B001S" "2007-10-30" 218.92 32.6941 -115.9264
69 69 "17S10E11B001S" "2008-03-27" 219.11 32.6941 -115.9264
70 70 "17S10E11B001S" "2008-10-28" 219.25 32.6941 -115.9264
71 71 "17S10E11G004S" "2000-03-29" 202.13 32.6888 -115.9272
72 72 "17S10E11G004S" "2005-03-23" 205.34 32.6888 -115.9272
73 73 "17S10E11G004S" "2005-10-25" 205.53 32.6888 -115.9272
74 74 "17S10E11G004S" "2006-03-22" 205.69 32.6888 -115.9272
75 75 "17S10E11G004S" "2006-10-24" 206.34 32.6888 -115.9272
76 76 "17S11E16J001S" "2000-03-29" 207.3 32.6704 -115.8547
77 77 "17S11E16J001S" "2005-03-23" 208.62 32.6704 -115.8547
78 78 "17S11E16J001S" "2005-10-25" 208.82 32.6704 -115.8547
79 79 "17S11E16J001S" "2006-03-22" 208.91 32.6704 -115.8547
80 80 "17S11E16J001S" "2006-10-24" 209.21 32.6704 -115.8547
81 81 "17S11E16J001S" "2007-03-26" 209.34 32.6704 -115.8547
