"np","dist","gamma","id","timelag","spacelag","avgDist"
"1",90268,0.851375435865089,370180.818644033,"lag1",7.5,1.33333333333333,0.869797621567366
"2",76270,4.1129436397187,372475.958345421,"lag1",7.5,4,4.10048653813318
"3",45728,6.64273457056098,550645.377789644,"lag1",7.5,6.66666666666667,6.60024498015333
"4",44668,9.30997424606118,578524.247930491,"lag1",7.5,9.33333333333333,9.32998561145327
"5",51976,12.0720548308256,521588.325335532,"lag1",7.5,12,12.0924339552585
"6",41844,14.6045264525713,548676.636563907,"lag1",7.5,14.6666666666667,14.5768059821679
"7",42482,17.2566153991516,577986.301733296,"lag1",7.5,17.3333333333333,17.2555644435174
"8",33200,20.0368312558161,585191.727855113,"lag1",7.5,20,20.036210560936
"9",26804,22.6406310274518,730729.623191954,"lag1",7.5,22.6666666666667,22.6384091596963
"10",27288,25.188789639382,673707.957869678,"lag1",7.5,25.3333333333333,25.2014854903965
"11",25904,27.9562894645294,782012.856609962,"lag1",7.5,28,27.9537321307265
"12",26218,30.6649255581085,862732.025844112,"lag1",7.5,30.6666666666667,30.6777973974784
"13",27292,33.3591209383069,852414.510757593,"lag1",7.5,33.3333333333333,33.3735084578813
"14",24416,35.9832056318323,849323.284130682,"lag1",7.5,36,35.9662108680481
"15",25966,38.6865118404635,908267.556456106,"lag1",7.5,38.6666666666667,38.6972562381699
"16",80532,0.840380089828493,335203.632871095,"lag2",22.5,1.33333333333333,0.869797621567366
"17",66626,4.12053314793064,334900.345147528,"lag2",22.5,4,4.10048653813318
"18",35828,6.6189595816942,535515.599110953,"lag2",22.5,6.66666666666667,6.60024498015333
"19",34424,9.30617204653937,549162.766874112,"lag2",22.5,9.33333333333333,9.32998561145327
"20",42802,12.0918545916936,524353.329140704,"lag2",22.5,12,12.0924339552585
"21",34602,14.6193663866551,558001.44839329,"lag2",22.5,14.6666666666667,14.5768059821679
"22",34542,17.2472009718126,572758.309303366,"lag2",22.5,17.3333333333333,17.2555644435174
"23",26328,20.0624916270696,653115.800780629,"lag2",22.5,20,20.036210560936
"24",20252,22.6442972897361,813066.065789365,"lag2",22.5,22.6666666666667,22.6384091596963
"25",20108,25.16429323688,768361.248660568,"lag2",22.5,25.3333333333333,25.2014854903965
"26",19708,27.9746619828497,864542.328941101,"lag2",22.5,28,27.9537321307265
"27",20196,30.6847760302531,888421.006769,"lag2",22.5,30.6666666666667,30.6777973974784
"28",21860,33.3675760552921,928350.068421956,"lag2",22.5,33.3333333333333,33.3735084578813
"29",19766,35.9842973680536,912681.482076799,"lag2",22.5,36,35.9662108680481
"30",21690,38.6930176759473,915253.654614365,"lag2",22.5,38.6666666666667,38.6972562381699
"31",77458,0.864575385786621,413050.553850039,"lag3",37.5,1.33333333333333,0.869797621567366
"32",64518,4.11311973217246,402149.457144175,"lag3",37.5,4,4.10048653813318
