"np","dist","gamma","id","timelag","spacelag","avgDist"
"1",363668,2.01616343977847,0.357904962202404,"lag1",7.5,2,1.35904227543354
"2",656614,5.88635338190998,0.374999099051772,"lag1",7.5,6,5.64530809277469
"3",656592,9.96142841760058,0.44659383524818,"lag1",7.5,10,9.90394551513826
"4",640388,13.973731431972,0.467642951803331,"lag1",7.5,14,13.9101555422594
"5",658238,17.9899968781973,0.481838561296104,"lag1",7.5,18,17.9970288375498
"6",657908,22.0177952732776,0.49942893336387,"lag1",7.5,22,22.0500977764549
"7",662620,26.0038129698718,0.498178017295383,"lag1",7.5,26,26.0326115889573
"8",653496,30.0102335284604,0.501574351872768,"lag1",7.5,30,30.0425450128762
"9",640376,33.997911183453,0.503589103566061,"lag1",7.5,34,34.0282384623555
"10",618236,37.9962760554398,0.519864939258484,"lag1",7.5,38,38.0302945730219
"11",621830,41.9876445406157,0.526910422081806,"lag1",7.5,42,41.9905617694245
"12",621888,45.9904867875907,0.519535278343089,"lag1",7.5,46,45.9928261477176
"13",586798,49.9827679528391,0.511219784785324,"lag1",7.5,50,49.9873807439152
"14",575808,53.9950856647248,0.519331074918956,"lag1",7.5,54,54.0179203911063
"15",548398,57.9971145613039,0.538492078649052,"lag1",7.5,58,58.0054373051541
"16",158554,1.22318353667027,0.242820241951502,"lag2",22.5,2,1.35904227543354
"17",262674,5.62549722985249,0.241680267433429,"lag2",22.5,6,5.64530809277469
"18",223926,9.94171943589664,0.419031659233839,"lag2",22.5,10,9.90394551513826
"19",236234,13.9355428045538,0.483410851091893,"lag2",22.5,14,13.9101555422594
"20",271412,18.0129532831663,0.489368847876842,"lag2",22.5,18,17.9970288375498
"21",293448,22.0554385910674,0.520681797465629,"lag2",22.5,22,22.0500977764549
"22",326796,26.0387285783271,0.518692657051013,"lag2",22.5,26,26.0326115889573
"23",344450,30.0455856958792,0.529739911499542,"lag2",22.5,30,30.0425450128762
"24",365582,34.0303310678793,0.540287813373299,"lag2",22.5,34,34.0282384623555
"25",377488,38.0309158837394,0.542015490103743,"lag2",22.5,38,38.0302945730219
"26",402690,41.9983948458708,0.562995639079426,"lag2",22.5,42,41.9905617694245
"27",420322,45.9941692154638,0.564288483483337,"lag2",22.5,46,45.9928261477176
"28",396400,49.9887478256825,0.569476218316567,"lag2",22.5,50,49.9873807439152
"29",396758,54.0172128436745,0.577171346443437,"lag2",22.5,54,54.0179203911063
"30",382652,58.0018194698669,0.586827340616558,"lag2",22.5,58,58.0054373051541
"31",149784,1.1239700275647,0.23593796905703,"lag3",37.5,2,1.35904227543354
"32",232748,5.55822716116461,0.190616663213645,"lag3",37.5,6,5.64530809277469
"33",174624,9.87370442170285,0.367267774705606,"lag3",37.5,10,9.90394551513826
"34",163738,13.8776146113493,0.430630108390509,"lag3",37.5,14,13.9101555422594
"35",186448,18.0139407845372,0.442987667883378,"lag3",37.5,18,17.9970288375498
"36",205124,22.0715665704867,0.516579237094214,"lag3",37.5,22,22.0500977764549
"37",233116,26.0443598592316,0.500172665126387,"lag3",37.5,26,26.0326115889573
"38",247526,30.0593675346214,0.520343708274602,"lag3",37.5,30,30.0425450128762
"39",267452,34.0361922553893,0.528040772545492,"lag3",37.5,34,34.0282384623555
"40",278634,38.0447363140763,0.537033311506293,"lag3",37.5,38,38.0302945730219
"41",305538,41.9987415245825,0.566587549916011,"lag3",37.5,42,41.9905617694245
"42",320324,45.9972544050612,0.555530825350805,"lag3",37.5,46,45.9928261477176
"43",300808,49.9818222620972,0.566973510060271,"lag3",37.5,50,49.9873807439152
"44",304350,54.022101444305,0.578165245062462,"lag3",37.5,54,54.0179203911063
"45",294928,58.013325137793,0.584435382868419,"lag3",37.5,58,58.0054373051541
"46",144996,1.13885286103556,0.19953281352847,"lag4",52.5,2,1.35904227543354
"47",225478,5.53584855766717,0.164235211526955,"lag4",52.5,6,5.64530809277469
"48",158650,9.85898874814941,0.309592626194451,"lag4",52.5,10,9.90394551513826
"49",146588,13.8587275478502,0.378045847009421,"lag4",52.5,14,13.9101555422594
"50",166920,18.0108747383205,0.39113758391049,"lag4",52.5,18,17.9970288375498
"51",182432,22.0742507245027,0.461931700934094,"lag4",52.5,22,22.0500977764549
"52",206280,26.0401701770253,0.464015342779444,"lag4",52.5,26,26.0326115889573
"53",213024,30.0570672150297,0.485182171296158,"lag4",52.5,30,30.0425450128762
"54",231830,34.0458692183743,0.492833753037241,"lag4",52.5,34,34.0282384623555
"55",243566,38.0477711606328,0.500880888366436,"lag4",52.5,38,38.0302945730219
"56",273900,42.0002182225782,0.503468309558268,"lag4",52.5,42,41.9905617694245
"57",290218,45.988010808102,0.518597440623969,"lag4",52.5,46,45.9928261477176
"58",270598,49.9863803276625,0.53266492774706,"lag4",52.5,50,49.9873807439152
"59",275964,54.0344963702108,0.529707895810047,"lag4",52.5,54,54.0179203911063
"60",273554,58.0105580702257,0.553308186559929,"lag4",52.5,58,58.0054373051541
"61",145124,1.10097939229506,0.237075708359103,"lag5",67.5,2,1.35904227543354
"62",220734,5.52532121718676,0.161902804234819,"lag5",67.5,6,5.64530809277469
"63",153972,9.84194486588964,0.330386963192236,"lag5",67.5,10,9.90394551513826
"64",133702,13.8412493358856,0.36666634064936,"lag5",67.5,14,13.9101555422594
"65",147020,17.9993464141896,0.377460629293687,"lag5",67.5,18,17.9970288375498
"66",154940,22.0693505627642,0.472348495055869,"lag5",67.5,22,22.0500977764549
"67",172284,26.0542218217262,0.448181103333763,"lag5",67.5,26,26.0326115889573
"68",183280,30.0704672033255,0.472015373775597,"lag5",67.5,30,30.0425450128762
"69",202028,34.0461559039353,0.451894785910072,"lag5",67.5,34,34.0282384623555
"70",212628,38.057721934077,0.453084774782951,"lag5",67.5,38,38.0302945730219
"71",242294,41.9924127999421,0.479649640456114,"lag5",67.5,42,41.9905617694245
"72",257698,45.9915716613688,0.497047295191539,"lag5",67.5,46,45.9928261477176
"73",244280,49.9933525899914,0.49552139128052,"lag5",67.5,50,49.9873807439152
"74",250296,54.028926935427,0.523339042241909,"lag5",67.5,54,54.0179203911063
"75",241874,58.0151771660736,0.541846397007557,"lag5",67.5,58,58.0054373051541
"76",149672,1.20250218685576,0.183216461915076,"lag6",82.5,2,1.35904227543354
"77",238488,5.57067839341843,0.170109391901114,"lag6",82.5,6,5.64530809277469
"78",174948,9.8723182011839,0.296685242634922,"lag6",82.5,10,9.90394551513826
"79",161400,13.8778074331128,0.359733944804067,"lag6",82.5,14,13.9101555422594
"80",177882,17.994427032119,0.36574544082958,"lag6",82.5,18,17.9970288375498
"81",185300,22.0566719612365,0.431927875404608,"lag6",82.5,22,22.0500977764549
"82",201116,26.0333768753992,0.453378617827895,"lag6",82.5,26,26.0326115889573
"83",201348,30.0437720619836,0.463419660263978,"lag6",82.5,30,30.0425450128762
"84",211106,34.0362102520678,0.462093003837077,"lag6",82.5,34,34.0282384623555
"85",212670,38.0377256079876,0.475576742520342,"lag6",82.5,38,38.0302945730219
"86",231324,41.9769457266618,0.515019034432582,"lag6",82.5,42,41.9905617694245
"87",244400,46.0020416624866,0.532132251245758,"lag6",82.5,46,45.9928261477176
"88",234500,49.9894813117573,0.52109294848317,"lag6",82.5,50,49.9873807439152
"89",243394,54.0302782265251,0.53724879779161,"lag6",82.5,54,54.0179203911063
"90",235504,58.00462988826,0.559877430917434,"lag6",82.5,58,58.0054373051541
"91",164618,1.25630501220923,0.266104816347733,"lag7",97.5,2,1.35904227543354
"92",257186,5.59833667113059,0.208184688455752,"lag7",97.5,6,5.64530809277469
"93",191640,9.87868696778719,0.388015107988809,"lag7",97.5,10,9.90394551513826
"94",173236,13.8853779343671,0.417286735669584,"lag7",97.5,14,13.9101555422594
"95",186752,17.990684633774,0.431461299940014,"lag7",97.5,18,17.9970288375498
"96",190898,22.0568214919365,0.516891310018616,"lag7",97.5,22,22.0500977764549
"97",206422,26.043349949498,0.501244372784598,"lag7",97.5,26,26.0326115889573
"98",213538,30.046792788159,0.511724962102808,"lag7",97.5,30,30.0425450128762
"99",221692,34.0262420450416,0.51003393765594,"lag7",97.5,34,34.0282384623555
"100",224784,38.0399058186928,0.512466652671457,"lag7",97.5,38,38.0302945730219
"101",247348,41.9966847274501,0.534922586696035,"lag7",97.5,42,41.9905617694245
"102",263804,45.9921385264722,0.542616362965026,"lag7",97.5,46,45.9928261477176
"103",249822,49.9929462804611,0.524385823149926,"lag7",97.5,50,49.9873807439152
"104",259350,54.0256199830312,0.547674187360158,"lag7",97.5,54,54.0179203911063
"105",251844,58.0090709397532,0.562046215079445,"lag7",97.5,58,58.0054373051541
"106",154382,1.26704023748149,0.202815639815791,"lag8",112.5,2,1.35904227543354
"107",250876,5.60013465954546,0.187079004791954,"lag8",112.5,6,5.64530809277469
"108",191050,9.88606026673368,0.329053495751166,"lag8",112.5,10,9.90394551513826
"109",176548,13.8853116642826,0.385701989736412,"lag8",112.5,14,13.9101555422594
"110",192208,17.995429011859,0.406895155663525,"lag8",112.5,18,17.9970288375498
"111",203452,22.0571652214045,0.473897168768536,"lag8",112.5,22,22.0500977764549
"112",223718,26.044358329359,0.485277187229234,"lag8",112.5,26,26.0326115889573
"113",235824,30.0506861766825,0.489544654717032,"lag8",112.5,30,30.0425450128762
"114",248852,34.0330704130031,0.503094708424496,"lag8",112.5,34,34.0282384623555
"115",250510,38.0277119924256,0.514916280609126,"lag8",112.5,38,38.0302945730219
"116",264638,41.9813573371359,0.525063034476757,"lag8",112.5,42,41.9905617694245
"117",273932,45.9884379947795,0.527028551528499,"lag8",112.5,46,45.9928261477176
"118",261150,49.9913559168199,0.519396158889118,"lag8",112.5,50,49.9873807439152
"119",264530,54.0213839309839,0.528593765847407,"lag8",112.5,54,54.0179203911063
"120",252356,57.9992636503058,0.54119593499366,"lag8",112.5,58,58.0054373051541
"121",166702,1.31092896862024,0.263323928474543,"lag9",127.5,2,1.35904227543354
"122",267062,5.62841868195008,0.211953984714951,"lag9",127.5,6,5.64530809277469
"123",210454,9.89422425309944,0.387734364936539,"lag9",127.5,10,9.90394551513826
"124",195418,13.899038143847,0.438814584848548,"lag9",127.5,14,13.9101555422594
"125",215012,17.9985137873315,0.453030533647728,"lag9",127.5,18,17.9970288375498
"126",226032,22.0533529597477,0.523870589033658,"lag9",127.5,22,22.0500977764549
