"np","dist","gamma","id","timelag","spacelag","avgDist"
"1",852278,1.90752591173501,775076.045351481,"lag1",7.5,2.5,2.00419506367919
"2",333624,6.32926383791342,1013929.53779379,"lag1",7.5,7.5,6.33630410835956
"3",NA,NA,NA,"lag1",7.5,12.5,10.0468624500388
"4",NA,NA,NA,"lag1",7.5,17.5,NA
"5",NA,NA,NA,"lag1",7.5,22.5,NA
"6",NA,NA,NA,"lag1",7.5,27.5,NA
"7",NA,NA,NA,"lag1",7.5,32.5,NA
"8",NA,NA,NA,"lag1",7.5,37.5,NA
"9",NA,NA,NA,"lag1",7.5,42.5,NA
"10",NA,NA,NA,"lag1",7.5,47.5,NA
"11",NA,NA,NA,"lag1",7.5,52.5,NA
"12",NA,NA,NA,"lag1",7.5,57.5,NA
"13",802838,1.97744670981486,794853.79634385,"lag2",22.5,2.5,2.00419506367919
"14",336932,6.335600711845,1022353.10965311,"lag2",22.5,7.5,6.33630410835956
"15",NA,NA,NA,"lag2",22.5,12.5,10.0468624500388
"16",NA,NA,NA,"lag2",22.5,17.5,NA
"17",NA,NA,NA,"lag2",22.5,22.5,NA
"18",NA,NA,NA,"lag2",22.5,27.5,NA
"19",NA,NA,NA,"lag2",22.5,32.5,NA
"20",NA,NA,NA,"lag2",22.5,37.5,NA
"21",NA,NA,NA,"lag2",22.5,42.5,NA
"22",NA,NA,NA,"lag2",22.5,47.5,NA
"23",NA,NA,NA,"lag2",22.5,52.5,NA
"24",NA,NA,NA,"lag2",22.5,57.5,NA
"25",774944,1.98647509129688,833474.790760894,"lag3",37.5,2.5,2.00419506367919
"26",334502,6.33579445557083,1028518.50771703,"lag3",37.5,7.5,6.33630410835956
"27",NA,NA,NA,"lag3",37.5,12.5,10.0468624500388
"28",NA,NA,NA,"lag3",37.5,17.5,NA
"29",NA,NA,NA,"lag3",37.5,22.5,NA
"30",NA,NA,NA,"lag3",37.5,27.5,NA
"31",NA,NA,NA,"lag3",37.5,32.5,NA
"32",NA,NA,NA,"lag3",37.5,37.5,NA
"33",NA,NA,NA,"lag3",37.5,42.5,NA
"34",NA,NA,NA,"lag3",37.5,47.5,NA
"35",NA,NA,NA,"lag3",37.5,52.5,NA
"36",NA,NA,NA,"lag3",37.5,57.5,NA
"37",750504,1.98877468425606,828505.361274701,"lag4",52.5,2.5,2.00419506367919
"38",329300,6.34074165357369,1035251.70742318,"lag4",52.5,7.5,6.33630410835956
"39",NA,NA,NA,"lag4",52.5,12.5,10.0468624500388
"40",NA,NA,NA,"lag4",52.5,17.5,NA
"41",NA,NA,NA,"lag4",52.5,22.5,NA
"42",NA,NA,NA,"lag4",52.5,27.5,NA
"43",NA,NA,NA,"lag4",52.5,32.5,NA
